iter	RMSE
0	11929.76416
1	11838.85953
2	11756.0635
3	11668.41307
4	11587.29453
5	11505.92344
6	11423.81782
7	11339.88576
8	11256.59173
9	11176.86837
10	11093.84529
11	11022.46305
12	10947.01119
13	10876.33135
14	10801.46321
15	10729.72912
16	10655.7093
17	10581.97273
18	10514.17912
19	10442.89548
20	10375.72174
21	10318.13319
22	10253.37487
23	10180.96037
24	10109.64284
25	10044.66377
26	9980.618747
27	9914.304478
28	9850.884846
29	9782.641593
30	9722.976048
31	9659.405927
32	9598.151202
33	9532.967884
34	9470.103398
35	9415.87637
36	9356.415758
37	9293.131892
38	9231.24281
39	9169.15944
40	9110.623029
41	9052.325331
42	9000.638166
43	8942.487312
44	8887.248245
45	8830.654916
46	8776.513264
47	8721.23595
48	8663.924112
49	8612.968866
50	8560.628658
51	8508.700296
52	8454.41141
53	8404.635223
54	8357.098615
55	8308.913854
56	8259.021894
57	8210.762199
58	8162.200738
59	8116.478556
60	8072.284568
61	8028.420495
62	7983.556942
63	7940.885327
64	7891.667973
65	7848.33278
66	7806.742292
67	7764.628273
68	7723.845927
69	7682.30061
70	7642.807139
71	7600.646025
72	7559.504438
73	7517.792045
74	7479.766391
75	7439.916747
76	7400.678643
77	7364.904425
78	7327.025674
79	7286.714238
80	7248.429512
81	7208.508891
82	7174.233406
83	7138.767462
84	7103.604696
85	7068.482535
86	7035.680442
87	7001.896236
88	6969.353076
89	6936.667199
90	6901.298253
91	6872.927333
92	6838.746808
93	6805.385284
94	6771.925951
95	6744.208583
96	6711.501672
97	6678.583944
98	6649.1949
99	6623.314646
100	6593.512966
101	6565.386798
102	6534.989895
103	6505.116985
104	6475.979683
105	6449.230384
106	6421.761171
107	6395.095931
108	6371.025249
109	6345.691845
110	6317.623305
111	6290.999839
112	6268.553717
113	6241.204114
114	6214.403503
115	6189.816829
116	6164.62201
117	6139.447772
118	6117.264094
119	6093.965081
120	6071.322502
121	6049.714645
122	6026.008139
123	6005.89518
124	5983.147857
125	5964.266668
126	5943.904549
127	5923.269037
128	5900.563446
129	5881.389245
130	5861.70845
131	5844.130627
132	5824.804018
133	5805.156532
134	5786.214018
135	5766.516833
136	5747.727155
137	5728.991373
138	5710.048546
139	5691.806229
140	5673.522743
141	5654.139481
142	5636.237304
143	5620.88413
144	5602.905742
145	5585.797297
146	5566.886015
147	5550.834744
148	5533.5914
149	5517.020675
150	5501.575977
151	5485.325902
152	5470.290917
153	5456.573791
154	5442.542331
155	5427.298033
156	5411.911221
157	5396.966984
158	5382.692361
159	5369.207505
160	5355.58166
161	5340.659355
162	5326.524016
163	5314.035455
164	5301.306734
165	5288.327403
166	5277.281937
167	5263.798418
168	5251.287136
169	5238.906396
170	5226.252123
171	5213.390307
172	5201.221042
173	5189.813192
174	5179.633573
175	5167.750648
176	5157.766591
177	5146.312332
178	5135.110971
179	5122.414827
180	5111.208248
181	5104.173376
182	5093.430663
183	5083.689402
184	5073.891749
185	5064.07949
186	5054.066281
187	5044.343224
188	5034.149683
189	5025.743415
190	5016.018716
191	5005.448585
192	4995.662546
193	4986.106784
194	4975.533008
195	4966.687526
196	4957.96334
197	4948.331983
198	4939.828083
199	4931.213002
200	4922.957417
201	4913.964659
202	4905.540475
203	4897.32392
