iter	Passed	Remaining
0	3	3066
1	4	2447
2	7	2507
3	10	2534
4	12	2489
5	16	2689
6	18	2660
7	20	2593
8	23	2577
9	24	2461
10	27	2446
11	29	2443
12	31	2412
13	35	2500
14	37	2459
15	42	2589
16	45	2615
17	47	2602
18	50	2583
19	51	2509
20	54	2517
21	55	2448
22	58	2473
23	60	2473
24	63	2490
25	66	2490
26	69	2490
27	71	2465
28	72	2437
29	75	2428
30	77	2417
31	80	2445
32	83	2460
33	86	2455
34	88	2441
35	90	2427
36	93	2444
37	97	2459
38	99	2449
39	100	2423
40	102	2408
41	105	2409
42	111	2474
43	113	2468
44	115	2455
45	117	2443
46	121	2466
47	124	2475
48	126	2455
49	128	2445
50	131	2443
51	134	2459
52	137	2456
53	139	2451
54	142	2445
55	144	2443
56	147	2447
57	150	2442
58	152	2438
59	155	2434
60	159	2450
61	161	2450
62	165	2458
63	167	2455
64	172	2477
65	173	2456
66	176	2451
67	177	2439
68	180	2432
69	183	2432
70	186	2446
71	189	2444
72	192	2438
73	195	2446
74	198	2448
75	200	2443
76	202	2422
77	204	2416
78	207	2416
79	210	2422
80	213	2420
81	215	2413
82	217	2407
83	220	2405
84	223	2406
85	226	2403
86	228	2395
87	230	2390
88	233	2387
89	234	2372
90	237	2370
91	239	2364
92	241	2355
93	243	2350
94	247	2353
95	248	2338
96	250	2332
97	253	2329
98	255	2326
99	257	2319
100	260	2318
101	262	2310
102	264	2299
103	266	2298
104	269	2296
105	271	2292
106	274	2290
107	276	2283
108	278	2279
109	281	2275
110	284	2278
111	288	2285
112	290	2284
113	293	2283
114	296	2278
115	299	2283
116	302	2280
117	304	2274
118	307	2278
119	311	2287
120	315	2288
121	318	2288
122	321	2290
123	324	2295
124	327	2293
125	330	2293
126	337	2322
127	339	2312
128	341	2308
129	344	2304
130	348	2310
131	351	2311
132	353	2306
133	356	2302
134	359	2300
135	363	2306
136	366	2308
137	369	2309
138	376	2331
139	379	2330
140	383	2333
141	387	2342
142	391	2347
143	394	2345
144	397	2345
145	401	2346
146	403	2342
147	406	2339
148	409	2338
149	413	2343
150	415	2335
151	418	2333
152	421	2330
153	422	2321
154	426	2324
155	429	2324
156	433	2325
157	435	2320
158	439	2324
159	442	2321
160	444	2317
161	449	2323
162	452	2321
163	455	2321
164	458	2319
165	461	2317
166	465	2320
167	468	2318
168	471	2317
169	474	2315
170	476	2309
171	479	2309
172	482	2306
173	485	2305
174	488	2302
175	493	2311
176	495	2303
177	498	2301
178	501	2297
179	504	2299
180	508	2298
181	509	2289
182	512	2287
183	514	2283
184	518	2282
185	520	2278
186	522	2273
187	525	2270
188	529	2272
189	532	2272
190	535	2268
191	538	2265
192	540	2261
193	544	2262
194	548	2263
195	550	2259
196	555	2263
197	558	2262
198	560	2254
199	562	2248
200	564	2245
201	567	2243
202	571	2243
203	573	2239
